Sequence,NodeNo,NodeName,componentName,Type,RefNo,Point,PPoint,Bore,O/D,Wall Thickness,Corrosion Allowance,Radius,SIF,LTube Length,Weight,Material,Rigid Weight,Rigid,East,North,Up,Conn Ref,Connected Type,Insu Material,Insu Thickness,Status,Bend Type,Pressure,Temperature,Restraint Type,Restraint Stiffness,Restraint Friction,Restraint Gap
573,2090,PS-171035.6,PS-171035.6,ATTA,=67132086/1263,0,0,200mm,219.1,0.000,0,0.000,0,4578mm,0.000,,0.000,,157600.000mm,160008.200mm,100859.550mm,Unset,,,0,,0,,,,,,
574,,,unset,TEE,=67132086/1264,1,1,200mm,219.1,0.000,0,0.000,0,422mm,0.000,,0.000,,161822.000mm,160008.200mm,100859.550mm,=67132086/1428,,,0,,0,,,,,,
575,,,unset,TEE,=67132086/1264,3,3,200mm,219.1,0.000,0,0.000,0,422mm,0.000,,0.000,,162000.000mm,159882.335mm,100985.415mm,=67132086/1428,,,0,,0,,,,,,
576,1910,,unset,TEE,=67132086/1264,0,0,200mm,219.1,0.000,0,0.000,0,422mm,0.000,,0.000,,162000.000mm,160008.200mm,100859.550mm,=67132086/1428,,,0,,0,,,,,,
577,,,unset,TEE,=67132086/1264,2,2,200mm,219.1,0.000,0,0.000,0,422mm,0.000,,0.000,,162178.000mm,160008.200mm,100859.550mm,=67132086/1428,,,0,,0,,,,,,
578,2100,PS-171036.3,PS-171036.3,ATTA,=67132086/1265,0,0,200mm,219.1,0.000,0,0.000,0,0mm,0.000,,0.000,,162600.000mm,160008.200mm,100859.550mm,Unset,,,0,,0,,,,,,
579,2110,PS-171036.10,PS-171036.10,ATTA,=67132086/1266,0,0,200mm,219.1,0.000,0,0.000,0,0mm,0.000,,0.000,,162600.000mm,160008.200mm,100859.550mm,Unset,,,0,,0,,,,,,
580,2120,PS-171036.6,PS-171036.6,ATTA,=67132086/1267,0,0,200mm,219.1,0.000,0,0.000,0,4528mm,0.000,,0.000,,162600.000mm,160008.200mm,100859.550mm,Unset,,,0,,0,,,,,,
581,,,unset,TEE,=67132086/1268,1,1,200mm,219.1,0.000,0,0.000,0,397mm,0.000,,0.000,,166772.000mm,160008.200mm,100859.550mm,=67132086/1416,,,0,,0,,,,,,
582,,,unset,TEE,=67132086/1268,3,3,200mm,219.1,0.000,0,0.000,0,397mm,0.000,,0.000,,166950.000mm,159882.335mm,100985.415mm,=67132086/1416,,,0,,0,,,,,,
583,2000,,unset,TEE,=67132086/1268,0,0,200mm,219.1,0.000,0,0.000,0,397mm,0.000,,0.000,,166950.000mm,160008.200mm,100859.550mm,=67132086/1416,,,0,,0,,,,,,
584,,,unset,TEE,=67132086/1268,2,2,200mm,219.1,0.000,0,0.000,0,397mm,0.000,,0.000,,167128.000mm,160008.200mm,100859.550mm,=67132086/1416,,,0,,0,,,,,,
585,2130,PS-171037.2,PS-171037.2,ATTA,=67132086/1269,0,0,200mm,219.1,0.000,0,0.000,0,0mm,0.000,,0.000,,167525.000mm,160008.200mm,100859.550mm,Unset,,,0,,0,,,,,,
586,2140,PS-171037.6,PS-171037.6,ATTA,=67132086/1270,0,0,200mm,219.1,0.000,0,0.000,0,0mm,0.000,,0.000,,167525.000mm,160008.200mm,100859.550mm,Unset,,,0,,0,,,,,,
587,2150,PS-171037.7,PS-171037.7,ATTA,=67132086/1271,0,0,200mm,219.1,0.000,0,0.000,0,3823mm,0.000,,0.000,,167525.000mm,160008.200mm,100859.550mm,Unset,,,0,,0,,,,,,
588,,,unset,OLET,=67132086/1272,1,1,200mm,219.1,0.000,0,0.000,0,1458mm,0.000,,0.000,,171348.929mm,160008.200mm,100859.550mm,=67132086/824,,,0,,0,,,,,,
589,,,unset,OLET,=67132086/1272,3,3,50mm,219.1,0.000,0,0.000,0,1458mm,0.000,,0.000,,171348.929mm,160008.200mm,100711.900mm,=67132086/824,,,0,,0,,,,,,
590,2160,,unset,OLET,=67132086/1272,0,0,200mm,219.1,0.000,0,0.000,0,1458mm,0.000,,0.000,,171348.929mm,160008.200mm,100859.550mm,=67132086/824,,,0,,0,,,,,,
591,,,unset,OLET,=67132086/1272,2,2,200mm,219.1,0.000,0,0.000,0,1458mm,0.000,,0.000,,171348.929mm,160008.200mm,100859.550mm,=67132086/824,,,0,,0,,,,,,
592,,,unset,OLET,=67132086/1273,1,1,200mm,219.1,0.000,0,0.000,0,2418mm,0.000,,0.000,,172807.590mm,160008.200mm,100859.550mm,=67132086/520,,,0,,0,,,,,,
593,,,unset,OLET,=67132086/1273,3,3,50mm,219.1,0.000,0,0.000,0,2418mm,0.000,,0.000,,172807.590mm,160008.200mm,101007.200mm,=67132086/520,,,0,,0,,,,,,
594,2170,,unset,OLET,=67132086/1273,0,0,200mm,219.1,0.000,0,0.000,0,2418mm,0.000,,0.000,,172807.590mm,160008.200mm,100859.550mm,=67132086/520,,,0,,0,,,,,,
595,,,unset,OLET,=67132086/1273,2,2,200mm,219.1,0.000,0,0.000,0,2418mm,0.000,,0.000,,172807.590mm,160008.200mm,100859.550mm,=67132086/520,,,0,,0,,,,,,
596,2180,SL-171501.3,SL-171501.3,ATTA,=67132086/1274,0,0,200mm,219.1,0.000,0,0.000,0,0mm,0.000,,0.000,,175226.000mm,160008.200mm,100859.550mm,Unset,,,0,,0,,,,,,
597,2190,SL-171501.7,SL-171501.7,ATTA,=67132086/1275,0,0,200mm,219.1,0.000,0,0.000,0,0mm,0.000,,0.000,,175226.000mm,160008.200mm,100859.550mm,Unset,,,0,,0,,,,,,
598,2200,SL-171501.5,SL-171501.5,ATTA,=67132086/1276,0,0,200mm,219.1,0.000,0,0.000,0,3926mm,0.000,,0.000,,175226.000mm,160008.200mm,100859.550mm,Unset,,,0,,0,,,,,,
599,,,unset,OLET,=67132086/1277,1,1,200mm,219.1,0.000,0,0.000,0,1697mm,0.000,,0.000,,179152.690mm,160008.200mm,100859.550mm,=67132086/1168,,,0,,0,,,,,,
600,,,unset,OLET,=67132086/1277,3,3,50mm,219.1,0.000,0,0.000,0,1697mm,0.000,,0.000,,179152.690mm,160008.200mm,101007.200mm,=67132086/1168,,,0,,0,,,,,,
601,2210,,unset,OLET,=67132086/1277,0,0,200mm,219.1,0.000,0,0.000,0,1697mm,0.000,,0.000,,179152.690mm,160008.200mm,100859.550mm,=67132086/1168,,,0,,0,,,,,,
602,,,unset,OLET,=67132086/1277,2,2,200mm,219.1,0.000,0,0.000,0,1697mm,0.000,,0.000,,179152.690mm,160008.200mm,100859.550mm,=67132086/1168,,,0,,0,,,,,,
603,2220,SL-171502.2,SL-171502.2,ATTA,=67132086/1278,0,0,200mm,219.1,0.000,0,0.000,0,0mm,0.000,,0.000,,180850.000mm,160008.200mm,100859.550mm,Unset,,,0,,0,,,,,,
604,2230,SL-171502.7,SL-171502.7,ATTA,=67132086/1279,0,0,200mm,219.1,0.000,0,0.000,0,650mm,0.000,,0.000,,180850.000mm,160008.200mm,100859.550mm,Unset,,,0,,0,,,,,,
605,,,unset,ELBO,=67132086/1280,1,1,200mm,219.1,0.000,0,305.000,0,0mm,0.000,,0.000,,181120.000mm,160008.200mm,100859.550mm,Unset,,,0,,0,,,,,,
606,2240,,unset,ELBO,=67132086/1280,0,0,200mm,219.1,0.000,0,305.000,0,0mm,0.000,,0.000,,181425.000mm,160008.200mm,100859.550mm,Unset,,,0,,0,,,,,,
607,,,unset,ELBO,=67132086/1280,2,2,200mm,219.1,0.000,0,305.000,0,0mm,0.000,,0.000,,181425.000mm,160008.200mm,101164.550mm,Unset,,,0,,0,,,,,,
608,2250,,unset,BRAN,=67132086/1251,2,2,200mm,219.1,0.000,0,0.000,0,0mm,0.000,0,0.000,,181425.000mm,160008.200mm,101164.550mm,=67132086/1281,BRAN,0,0,,0,0,-100000,,,,
609,2250,,unset,BRAN,=67132086/1281,1,1,200mm,219.1,0.000,0,0.000,0,225mm,0.000,0,0.000,,181425.000mm,160008.200mm,101164.550mm,=67132086/1251,BRAN,0,0,,0,0,-100000,,,,
610,,,unset,ELBO,=67132086/1282,1,1,200mm,219.1,0.000,0,305.000,0,750mm,0.000,,0.000,,181425.000mm,160008.200mm,101389.550mm,Unset,,,0,,0,,,,,,
611,2260,,unset,ELBO,=67132086/1282,0,0,200mm,219.1,0.000,0,305.000,0,750mm,0.000,,0.000,,181425.000mm,160008.200mm,101694.550mm,Unset,,,0,,0,,,,,,
612,,,unset,ELBO,=67132086/1282,2,2,200mm,219.1,0.000,0,305.000,0,750mm,0.000,,0.000,,181425.000mm,159703.200mm,101694.550mm,Unset,,,0,,0,,,,,,
613,,,unset,OLET,=67132086/1283,1,1,200mm,219.1,0.000,0,0.000,0,200mm,0.000,,0.000,,181425.000mm,158953.200mm,101694.550mm,=67132086/1313,,,0,,0,,,,,,
614,,,unset,OLET,=67132086/1283,3,3,50mm,219.1,0.000,0,0.000,0,200mm,0.000,,0.000,,181425.000mm,158953.200mm,101842.200mm,=67132086/1313,,,0,,0,,,,,,
615,2270,,unset,OLET,=67132086/1283,0,0,200mm,219.1,0.000,0,0.000,0,200mm,0.000,,0.000,,181425.000mm,158953.200mm,101694.550mm,=67132086/1313,,,0,,0,,,,,,
616,,,unset,OLET,=67132086/1283,2,2,200mm,219.1,0.000,0,0.000,0,200mm,0.000,,0.000,,181425.000mm,158953.200mm,101694.550mm,=67132086/1313,,,0,,0,,,,,,
617,,,unset,ELBO,=67132086/1284,1,1,200mm,219.1,0.000,0,305.000,0,156mm,0.000,,0.000,,181425.000mm,158753.200mm,101694.550mm,Unset,,,0,,0,,,,,,
618,2280,,unset,ELBO,=67132086/1284,0,0,200mm,219.1,0.000,0,305.000,0,156mm,0.000,,0.000,,181425.000mm,158448.200mm,101694.550mm,Unset,,,0,,0,,,,,,
619,,,unset,ELBO,=67132086/1284,2,2,200mm,219.1,0.000,0,305.000,0,156mm,0.000,,0.000,,181425.000mm,158448.200mm,101389.550mm,Unset,,,0,,0,,,,,,
620,,,unset,ELBO,=67132086/1285,1,1,200mm,219.1,0.000,0,305.000,0,174mm,0.000,,0.000,,181425.000mm,158448.200mm,101232.800mm,Unset,,,0,,0,,,,,,
