Sequence,NodeNo,NodeName,componentName,Type,RefNo,Point,PPoint,Bore,O/D,Wall Thickness,Corrosion Allowance,Radius,SIF,LTube Length,Weight,Material,Rigid Weight,Rigid,East,North,Up,Conn Ref,Connected Type,Insu Material,Insu Thickness,Status,Bend Type,Pressure,Temperature,Restraint Type,Restraint Stiffness,Restraint Friction,Restraint Gap
673,2470,17-VBL-20014,A-171001-T,BRAN,=67132086/1342,1,1,200mm,219.1,0.000,0,0.000,0,0mm,0.000,0,0.000,END,181425.000mm,152603.600mm,100927.798mm,=67132086/1281,BRAN,0,0,,0,0,-100000,,,,
674,,,17-VBL-20014,VALV,=67132086/1343,1,2,200mm,219.1,0.000,0,0.000,0,0mm,0.000,,0.000,,181425.000mm,152603.600mm,100927.798mm,Unset,,,0,,0,,,,,,
675,,,17-VBL-20014,VALV,=67132086/1343,2,1,200mm,219.1,0.000,0,0.000,0,0mm,0.000,,0.000,,181425.000mm,151943.600mm,100927.798mm,Unset,,,0,,0,,,,,,
676,,,unset,GASK,=67132086/1344,1,1,200mm,219.1,0.000,0,0.000,0,0mm,0.000,,0.000,,181425.000mm,151943.600mm,100927.798mm,Unset,,,0,,0,,,,,,
677,,,unset,GASK,=67132086/1344,2,2,200mm,219.1,0.000,0,0.000,0,0mm,0.000,,0.000,,181425.000mm,151940.400mm,100927.798mm,Unset,,,0,,0,,,,,,
678,,,unset,PCOM,=67132086/1345,1,1,200mm,219.1,0.000,0,0.000,0,0mm,0.000,,0.000,,181425.000mm,151940.400mm,100927.798mm,Unset,,,0,,0,,,,,,
679,,,unset,PCOM,=67132086/1345,2,2,200mm,219.1,0.000,0,0.000,0,0mm,0.000,,0.000,,181425.000mm,151912.000mm,100927.798mm,Unset,,,0,,0,,,,,,
680,,,unset,GASK,=67132086/1346,1,1,200mm,219.1,0.000,0,0.000,0,0mm,0.000,,0.000,,181425.000mm,151912.000mm,100927.798mm,Unset,,,0,,0,,,,,,
681,,,unset,GASK,=67132086/1346,2,2,200mm,219.1,0.000,0,0.000,0,0mm,0.000,,0.000,,181425.000mm,151908.800mm,100927.798mm,Unset,,,0,,0,,,,,,
682,,,unset,FLAN,=67132086/1347,1,1,200mm,219.1,0.000,0,0.000,0,250mm,0.000,,0.000,,181425.000mm,151908.800mm,100927.798mm,Unset,,,0,,0,,,,,,
683,2480,17-VBL-20014,unset,FLAN,=67132086/1347,2,2,200mm,219.1,0.000,0,0.000,0,250mm,0.000,,0.000,,181425.000mm,151768.800mm,100927.798mm,Unset,,,0,,0,,,,,,
684,,,unset,OLET,=67132086/1348,1,1,200mm,219.1,0.000,0,0.000,0,1196mm,0.000,,0.000,,181425.000mm,151518.800mm,100927.798mm,=67132086/1233,,,0,,0,,,,,,
685,,,unset,OLET,=67132086/1348,3,3,50mm,219.1,0.000,0,0.000,0,1196mm,0.000,,0.000,,181425.000mm,151518.800mm,101075.448mm,=67132086/1233,,,0,,0,,,,,,
686,2490,,unset,OLET,=67132086/1348,0,0,200mm,219.1,0.000,0,0.000,0,1196mm,0.000,,0.000,,181425.000mm,151518.800mm,100927.798mm,=67132086/1233,,,0,,0,,,,,,
687,,,unset,OLET,=67132086/1348,2,2,200mm,219.1,0.000,0,0.000,0,1196mm,0.000,,0.000,,181425.000mm,151518.800mm,100927.798mm,=67132086/1233,,,0,,0,,,,,,
688,,,unset,OLET,=67132086/1349,1,1,200mm,219.1,0.000,0,0.000,0,140mm,0.000,,0.000,,181425.000mm,150322.450mm,100927.798mm,=67132086/970,,,0,,0,,,,,,
689,,,unset,OLET,=67132086/1349,3,3,50mm,219.1,0.000,0,0.000,0,140mm,0.000,,0.000,,181425.000mm,150322.450mm,100780.148mm,=67132086/970,,,0,,0,,,,,,
690,2500,,unset,OLET,=67132086/1349,0,0,200mm,219.1,0.000,0,0.000,0,140mm,0.000,,0.000,,181425.000mm,150322.450mm,100927.798mm,=67132086/970,,,0,,0,,,,,,
691,,,unset,OLET,=67132086/1349,2,2,200mm,219.1,0.000,0,0.000,0,140mm,0.000,,0.000,,181425.000mm,150322.450mm,100927.798mm,=67132086/970,,,0,,0,,,,,,
692,,,unset,OLET,=67132086/1350,1,1,200mm,219.1,0.000,0,0.000,0,128mm,0.000,,0.000,,181425.000mm,150182.450mm,100927.798mm,=67132086/962,,,0,,0,,,,,,
693,,,unset,OLET,=67132086/1350,3,3,50mm,219.1,0.000,0,0.000,0,128mm,0.000,,0.000,,181277.350mm,150182.450mm,100927.798mm,=67132086/962,,,0,,0,,,,,,
694,2510,,unset,OLET,=67132086/1350,0,0,200mm,219.1,0.000,0,0.000,0,128mm,0.000,,0.000,,181425.000mm,150182.450mm,100927.798mm,=67132086/962,,,0,,0,,,,,,
695,,,unset,OLET,=67132086/1350,2,2,200mm,219.1,0.000,0,0.000,0,128mm,0.000,,0.000,,181425.000mm,150182.450mm,100927.798mm,=67132086/962,,,0,,0,,,,,,
696,,,unset,OLET,=67132086/1351,1,1,200mm,219.1,0.000,0,0.000,0,1450mm,0.000,,0.000,,181425.000mm,150054.450mm,100927.798mm,=67132086/953,,,0,,0,,,,,,
697,,,unset,OLET,=67132086/1351,3,3,50mm,219.1,0.000,0,0.000,0,1450mm,0.000,,0.000,,181425.000mm,150054.450mm,101075.448mm,=67132086/953,,,0,,0,,,,,,
698,2520,,unset,OLET,=67132086/1351,0,0,200mm,219.1,0.000,0,0.000,0,1450mm,0.000,,0.000,,181425.000mm,150054.450mm,100927.798mm,=67132086/953,,,0,,0,,,,,,
699,,,unset,OLET,=67132086/1351,2,2,200mm,219.1,0.000,0,0.000,0,1450mm,0.000,,0.000,,181425.000mm,150054.450mm,100927.798mm,=67132086/953,,,0,,0,,,,,,
700,2530,PS-171067.2,PS-171067.2,ATTA,=67132086/1352,0,0,200mm,219.1,0.000,0,0.000,0,0mm,0.000,,0.000,,181425.000mm,148604.050mm,100927.798mm,Unset,,,0,,0,,,,,,
701,2540,PS-171067.8,PS-171067.8,ATTA,=67132086/1353,0,0,200mm,219.1,0.000,0,0.000,0,0mm,0.000,,0.000,,181425.000mm,148604.050mm,100927.798mm,Unset,,,0,,0,,,,,,
702,2550,PS-171072.2,PS-171072.2,ATTA,=67132086/1354,0,0,200mm,219.1,0.000,0,0.000,0,682mm,0.000,,0.000,,181425.000mm,148604.050mm,100927.798mm,Unset,,,0,,0,,,,,,
703,2560,,unset,FLAN,=67132086/1355,1,2,200mm,219.1,0.000,0,0.000,0,0mm,0.000,,0.000,START,181425.003mm,148061.402mm,100927.805mm,Unset,,,0,,0,,,,,,
704,,,unset,FLAN,=67132086/1355,2,1,200mm,219.1,0.000,0,0.000,0,0mm,0.000,,0.000,,181425.003mm,147921.402mm,100927.805mm,Unset,,,0,,0,,,,,,
705,,,unset,GASK,=67132086/1356,1,1,200mm,219.1,0.000,0,0.000,0,0mm,0.000,,0.000,,181425.003mm,147921.402mm,100927.805mm,Unset,,,0,,0,,,,,,
706,,,unset,GASK,=67132086/1356,2,2,200mm,219.1,0.000,0,0.000,0,0mm,0.000,,0.000,,181425.003mm,147918.202mm,100927.805mm,Unset,,,0,,0,,,,,,
707,,,unset,FLAN,=67132086/1357,1,1,200mm,219.1,0.000,0,0.000,0,1584mm,0.000,,0.000,,181425.003mm,147918.202mm,100927.805mm,Unset,,,0,,0,,,,,,
708,2570,,unset,FLAN,=67132086/1357,2,2,200mm,219.1,0.000,0,0.000,0,1584mm,0.000,,0.000,END,181425.003mm,147778.202mm,100927.805mm,Unset,,,0,,0,,,,,,
709,2580,,unset,REDU,=67132086/1358,1,1,200mm,219.1,0.000,0,0.000,0,0mm,0.000,,0.000,,181425.003mm,146194.202mm,100927.805mm,Unset,,,0,,0,,,,,,
710,2590,,unset,REDU,=67132086/1358,2,2,150mm,168.3,0.000,0,0.000,0,0mm,0.000,,0.000,START,181425.003mm,146042.202mm,100902.405mm,Unset,,,0,,0,,,,,,
711,,,unset,FLAN,=67132086/1359,1,2,150mm,168.3,0.000,0,0.000,0,0mm,0.000,,0.000,,181425.003mm,146042.202mm,100902.405mm,Unset,,,0,,0,,,,,,
712,,,unset,FLAN,=67132086/1359,2,1,150mm,168.3,0.000,0,0.000,0,0mm,0.000,,0.000,,181425.003mm,145918.202mm,100902.405mm,Unset,,,0,,0,,,,,,
713,,,unset,GASK,=67132086/1360,1,1,150mm,168.3,0.000,0,0.000,0,0mm,0.000,,0.000,,181425.003mm,145918.202mm,100902.405mm,Unset,,,0,,0,,,,,,
714,,,unset,GASK,=67132086/1360,2,2,150mm,168.3,0.000,0,0.000,0,0mm,0.000,,0.000,,181425.003mm,145915.002mm,100902.405mm,Unset,,,0,,0,,,,,,
715,2600,,unset,BRAN,=67132086/1342,2,2,150mm,168.3,0.000,0,0.000,0,0mm,0.000,0,0.000,END,181425.003mm,145915.002mm,100902.405mm,=67132072/47,NOZZ,0,0,,0,0,-100000,,,,
716,2170,,unset,BRAN,=67132086/520,1,1,50mm,60.3,0.000,0,0.000,0,0mm,0.000,0,0.000,START,172807.590mm,160008.200mm,100859.550mm,=67132086/1273,OLET,0,0,,0,0,-100000,,,,
717,,,unset,ELBO,=67132086/521,1,1,50mm,60.3,0.000,0,76.000,0,849mm,0.000,,0.000,,172807.590mm,160008.200mm,101007.486mm,Unset,,,0,,0,,,,,,
718,2610,,unset,ELBO,=67132086/521,0,0,50mm,60.3,0.000,0,76.000,0,849mm,0.000,,0.000,,172807.590mm,160008.200mm,101083.486mm,Unset,,,0,,0,,,,,,
719,,,unset,ELBO,=67132086/521,2,2,50mm,60.3,0.000,0,76.000,0,849mm,0.000,,0.000,,172807.590mm,160084.200mm,101083.486mm,Unset,,,0,,0,,,,,,
720,2620,PS-171046.2,PS-171046.2,ATTA,=67132086/522,0,0,50mm,60.3,0.000,0,0.000,0,0mm,0.000,,0.000,,172807.590mm,160933.200mm,101083.486mm,Unset,,,0,,0,,,,,,
721,2630,PS-171046.1,PS-171046.1,ATTA,=67132086/523,0,0,50mm,60.3,0.000,0,0.000,0,530mm,0.000,,0.000,,172807.590mm,160933.200mm,101083.486mm,Unset,,,0,,0,,,,,,
722,,,unset,ELBO,=67132086/524,1,1,50mm,60.3,0.000,0,76.000,0,100mm,0.000,,0.000,,172807.590mm,161382.200mm,101083.486mm,Unset,,,0,,0,,,,,,
723,2640,,unset,ELBO,=67132086/524,0,0,50mm,60.3,0.000,0,76.000,0,100mm,0.000,,0.000,,172807.590mm,161458.200mm,101083.486mm,Unset,,,0,,0,,,,,,
724,,,unset,ELBO,=67132086/524,2,2,50mm,60.3,0.000,0,76.000,0,100mm,0.000,,0.000,,172883.590mm,161458.200mm,101083.486mm,Unset,,,0,,0,,,,,,
725,2650,,unset,FLAN,=67132086/525,1,2,50mm,60.3,0.000,0,0.000,0,0mm,0.000,,0.000,START,172983.590mm,161458.200mm,101083.486mm,Unset,,,0,,0,,,,,,
726,,,unset,FLAN,=67132086/525,2,1,50mm,60.3,0.000,0,0.000,0,0mm,0.000,,0.000,,173063.590mm,161458.200mm,101083.486mm,Unset,,,0,,0,,,,,,
727,,,unset,GASK,=67132086/526,1,1,50mm,60.3,0.000,0,0.000,0,0mm,0.000,,0.000,,173063.590mm,161458.200mm,101083.486mm,Unset,,,0,,0,,,,,,
728,,,unset,GASK,=67132086/526,2,2,50mm,60.3,0.000,0,0.000,0,0mm,0.000,,0.000,,173066.790mm,161458.200mm,101083.486mm,Unset,,,0,,0,,,,,,
729,,,unset,VALV,=67132086/527,1,2,50mm,60.3,0.000,0,0.000,0,0mm,0.000,,0.000,,173066.790mm,161458.200mm,101083.486mm,Unset,,,0,,0,,,,,,
730,,,=67132086/527,VALV,=67132086/527,2,1,50mm,60.3,0.000,0,0.000,0,0mm,0.000,,0.000,,173358.790mm,161458.200mm,101083.486mm,Unset,,,0,,0,,,,,,
731,,,unset,GASK,=67132086/528,1,1,50mm,60.3,0.000,0,0.000,0,0mm,0.000,,0.000,,173358.790mm,161458.200mm,101083.486mm,Unset,,,0,,0,,,,,,
732,,,unset,GASK,=67132086/528,2,2,50mm,60.3,0.000,0,0.000,0,0mm,0.000,,0.000,,173361.990mm,161458.200mm,101083.486mm,Unset,,,0,,0,,,,,,
733,,,unset,FLAN,=67132086/529,1,1,50mm,60.3,0.000,0,0.000,0,182mm,0.000,,0.000,,173361.990mm,161458.200mm,101083.486mm,Unset,,,0,,0,,,,,,
734,2660,=67132086/527,unset,FLAN,=67132086/529,2,2,50mm,60.3,0.000,0,0.000,0,182mm,0.000,,0.000,END,173441.990mm,161458.200mm,101083.486mm,Unset,,,0,,0,,,,,,
735,2670,PS-171047.1,PS-171047.1,ATTA,=67132086/530,0,0,50mm,60.3,0.000,0,0.000,0,0mm,0.000,,0.000,,173624.890mm,161458.200mm,101083.486mm,Unset,,,0,,0,,,,,,
736,2680,PS-171047.2,PS-171047.2,ATTA,=67132086/531,0,0,50mm,60.3,0.000,0,0.000,0,271mm,0.000,,0.000,,173624.890mm,161458.200mm,101083.486mm,Unset,,,0,,0,,,,,,
737,2690,,unset,REDU,=67132086/532,1,2,50mm,60.3,0.000,0,0.000,0,0mm,0.000,,0.000,,173792.990mm,161458.200mm,101083.486mm,Unset,,,0,,0,,,,,,
738,2700,,unset,REDU,=67132086/532,2,1,100mm,114.3,0.000,0,0.000,0,0mm,0.000,,0.000,START,173894.990mm,161458.200mm,101110.486mm,Unset,,,0,,0,,,,,,
739,,,unset,FLAN,=67132086/533,1,2,100mm,114.3,0.000,0,0.000,0,0mm,0.000,,0.000,,173894.990mm,161458.200mm,101110.486mm,Unset,,,0,,0,,,,,,
740,,,unset,FLAN,=67132086/533,2,1,100mm,114.3,0.000,0,0.000,0,0mm,0.000,,0.000,,174003.990mm,161458.200mm,101110.486mm,Unset,,,0,,0,,,,,,
741,2710,,unset,BRAN,=67132086/520,2,2,100mm,114.3,0.000,0,0.000,0,0mm,0.000,0,0.000,END,174003.990mm,161458.200mm,101110.486mm,=67132086/494,BRAN,0,0,,0,0,-100000,,,,
742,2710,,unset,BRAN,=67132086/494,1,1,100mm,114.3,0.000,0,0.000,0,0mm,0.000,0,0.000,END,174003.990mm,161458.200mm,101110.486mm,=67132086/520,BRAN,0,0,,0,0,-100000,,,,
743,,,unset,GASK,=67132086/495,1,1,100mm,114.3,0.000,0,0.000,0,0mm,0.000,,0.000,,174003.990mm,161458.200mm,101110.486mm,Unset,,,0,,0,,,,,,
744,,,unset,GASK,=67132086/495,2,2,100mm,114.3,0.000,0,0.000,0,0mm,0.000,,0.000,,174007.190mm,161458.200mm,101110.486mm,Unset,,,0,,0,,,,,,
745,,,unset,INST,=67132086/496,1,1,100mm,114.3,0.000,0,0.000,0,0mm,0.000,,0.000,,174007.190mm,161458.200mm,101110.486mm,Unset,,,0,,0,,,,,,
746,,,unset,INST,=67132086/496,2,2,100mm,114.3,0.000,0,0.000,0,0mm,0.000,,0.000,,174013.190mm,161458.200mm,101110.486mm,Unset,,,0,,0,,,,,,
747,,,unset,GASK,=67132086/497,1,1,100mm,114.3,0.000,0,0.000,0,0mm,0.000,,0.000,,174013.190mm,161458.200mm,101110.486mm,Unset,,,0,,0,,,,,,
748,,,unset,GASK,=67132086/497,2,2,100mm,114.3,0.000,0,0.000,0,0mm,0.000,,0.000,,174016.390mm,161458.200mm,101110.486mm,Unset,,,0,,0,,,,,,
749,,,unset,FLAN,=67132086/498,1,1,100mm,114.3,0.000,0,0.000,0,0mm,0.000,,0.000,,174016.390mm,161458.200mm,101110.486mm,Unset,,,0,,0,,,,,,
750,,,unset,FLAN,=67132086/498,2,2,100mm,114.3,0.000,0,0.000,0,0mm,0.000,,0.000,,174125.390mm,161458.200mm,101110.486mm,Unset,,,0,,0,,,,,,
751,,,unset,FLAN,=67132086/500,1,2,100mm,114.3,0.000,0,0.000,0,0mm,0.000,,0.000,,174275.385mm,161458.200mm,101109.736mm,Unset,,,0,,0,,,,,,
752,,,unset,FLAN,=67132086/500,2,1,100mm,114.3,0.000,0,0.000,0,0mm,0.000,,0.000,,174384.384mm,161458.200mm,101109.191mm,Unset,,,0,,0,,,,,,
753,,,unset,GASK,=67132086/501,1,1,100mm,114.3,0.000,0,0.000,0,0mm,0.000,,0.000,,174384.384mm,161458.200mm,101109.191mm,Unset,,,0,,0,,,,,,
754,,,unset,GASK,=67132086/501,2,2,100mm,114.3,0.000,0,0.000,0,0mm,0.000,,0.000,,174387.583mm,161458.200mm,101109.175mm,Unset,,,0,,0,,,,,,
755,,,unset,PCOM,=67132086/502,1,1,100mm,114.3,0.000,0,0.000,0,0mm,0.000,,0.000,,174387.583mm,161458.200mm,101109.175mm,Unset,,,0,,0,,,,,,
756,,,unset,PCOM,=67132086/502,2,2,100mm,114.3,0.000,0,0.000,0,0mm,0.000,,0.000,,174403.283mm,161458.200mm,101109.096mm,Unset,,,0,,0,,,,,,
757,,,unset,GASK,=67132086/503,1,1,100mm,114.3,0.000,0,0.000,0,0mm,0.000,,0.000,,174403.283mm,161458.200mm,101109.096mm,Unset,,,0,,0,,,,,,
758,,,unset,GASK,=67132086/503,2,2,100mm,114.3,0.000,0,0.000,0,0mm,0.000,,0.000,,174406.483mm,161458.200mm,101109.080mm,Unset,,,0,,0,,,,,,
759,,,unset,FLAN,=67132086/504,1,1,100mm,114.3,0.000,0,0.000,0,363mm,0.000,,0.000,,174406.483mm,161458.200mm,101109.080mm,Unset,,,0,,0,,,,,,
760,2720,,unset,FLAN,=67132086/504,2,2,100mm,114.3,0.000,0,0.000,0,363mm,0.000,,0.000,,174515.482mm,161458.200mm,101108.535mm,Unset,,,0,,0,,,,,,
761,2730,PS-171048.1,PS-171048.1,ATTA,=67132086/505,0,0,100mm,114.3,0.000,0,0.000,0,0mm,0.000,,0.000,,174878.960mm,161458.200mm,101106.718mm,Unset,,,0,,0,,,,,,
762,2740,PS-171048.2,PS-171048.2,ATTA,=67132086/506,0,0,100mm,114.3,0.000,0,0.000,0,0mm,0.000,,0.000,,174878.960mm,161458.200mm,101106.718mm,Unset,,,0,,0,,,,,,
763,2750,PS-171048.3,PS-171048.3,ATTA,=67132086/507,0,0,100mm,114.3,0.000,0,0.000,0,214mm,0.000,,0.000,,174878.960mm,161458.200mm,101106.718mm,Unset,,,0,,0,,,,,,
764,,,unset,OLET,=67132086/508,1,1,100mm,114.3,0.000,0,0.000,0,149mm,0.000,,0.000,,175093.957mm,161458.200mm,101105.642mm,=67132086/513,,,0,,0,,,,,,
765,,,unset,OLET,=67132086/508,3,3,25mm,114.3,0.000,0,0.000,0,149mm,0.000,,0.000,,175094.993mm,161458.200mm,101312.790mm,=67132086/513,,,0,,0,,,,,,
766,2760,,unset,OLET,=67132086/508,0,0,100mm,114.3,0.000,0,0.000,0,149mm,0.000,,0.000,,175093.957mm,161458.200mm,101105.642mm,=67132086/513,,,0,,0,,,,,,
767,,,unset,OLET,=67132086/508,2,2,100mm,114.3,0.000,0,0.000,0,149mm,0.000,,0.000,,175093.957mm,161458.200mm,101105.642mm,=67132086/513,,,0,,0,,,,,,
768,2770,17-VBL-20010,unset,FLAN,=67132086/509,1,2,100mm,114.3,0.000,0,0.000,0,0mm,0.000,,0.000,START,175243.955mm,161458.200mm,101104.892mm,Unset,,,0,,0,,,,,,
769,,,unset,FLAN,=67132086/509,2,1,100mm,114.3,0.000,0,0.000,0,0mm,0.000,,0.000,,175352.954mm,161458.200mm,101104.347mm,Unset,,,0,,0,,,,,,
770,,,unset,GASK,=67132086/510,1,1,100mm,114.3,0.000,0,0.000,0,0mm,0.000,,0.000,,175352.954mm,161458.200mm,101104.347mm,Unset,,,0,,0,,,,,,
771,,,unset,GASK,=67132086/510,2,2,100mm,114.3,0.000,0,0.000,0,0mm,0.000,,0.000,,175356.154mm,161458.200mm,101104.331mm,Unset,,,0,,0,,,,,,
772,,,17-VBL-20010,VALV,=67132086/511,1,1,100mm,114.3,0.000,0,0.000,0,0mm,0.000,,0.000,,175356.154mm,161458.200mm,101104.331mm,Unset,,,0,,0,,,,,,
773,,,17-VBL-20010,VALV,=67132086/511,2,2,100mm,114.3,0.000,0,0.000,0,0mm,0.000,,0.000,,175788.148mm,161458.200mm,101102.171mm,Unset,,,0,,0,,,,,,
774,,,unset,GASK,=67132086/512,1,1,100mm,114.3,0.000,0,0.000,0,0mm,0.000,,0.000,,175788.148mm,161458.200mm,101102.171mm,Unset,,,0,,0,,,,,,
775,,,unset,GASK,=67132086/512,2,2,100mm,114.3,0.000,0,0.000,0,0mm,0.000,,0.000,,175791.348mm,161458.200mm,101102.155mm,Unset,,,0,,0,,,,,,
776,2780,17-VBL-20010,unset,BRAN,=67132086/494,2,2,100mm,114.3,0.000,0,0.000,0,0mm,0.000,0,0.000,END,175791.348mm,161458.200mm,101102.155mm,=67132086/438,BRAN,0,0,,0,0,-100000,,,,
777,1330,,unset,BRAN,=67132086/479,1,1,50mm,60.3,0.000,0,0.000,0,0mm,0.000,0,0.000,START,173258.590mm,158858.200mm,100927.800mm,=67132086/1687,OLET,0,0,,0,0,-100000,,,,
778,,,unset,ELBO,=67132086/480,1,1,50mm,60.3,0.000,0,76.000,0,772mm,0.000,,0.000,,173258.590mm,158858.200mm,101143.700mm,Unset,,,0,,0,,,,,,
779,2790,,unset,ELBO,=67132086/480,0,0,50mm,60.3,0.000,0,76.000,0,772mm,0.000,,0.000,,173258.590mm,158858.200mm,101219.700mm,Unset,,,0,,0,,,,,,
780,,,unset,ELBO,=67132086/480,2,2,50mm,60.3,0.000,0,76.000,0,772mm,0.000,,0.000,,173258.590mm,158782.200mm,101219.700mm,Unset,,,0,,0,,,,,,
781,2800,PS-171041.3,PS-171041.3,ATTA,=67132086/481,0,0,50mm,60.3,0.000,0,0.000,0,0mm,0.000,,0.000,,173258.590mm,158010.000mm,101219.700mm,Unset,,,0,,0,,,,,,
782,2810,PS-171041.4,PS-171041.4,ATTA,=67132086/482,0,0,50mm,60.3,0.000,0,0.000,0,557mm,0.000,,0.000,,173258.590mm,158010.000mm,101219.700mm,Unset,,,0,,0,,,,,,
783,,,unset,ELBO,=67132086/483,1,1,50mm,60.3,0.000,0,76.000,0,100mm,0.000,,0.000,,173258.590mm,157534.200mm,101219.700mm,Unset,,,0,,0,,,,,,
784,2820,,unset,ELBO,=67132086/483,0,0,50mm,60.3,0.000,0,76.000,0,100mm,0.000,,0.000,,173258.590mm,157458.200mm,101219.700mm,Unset,,,0,,0,,,,,,
785,,,unset,ELBO,=67132086/483,2,2,50mm,60.3,0.000,0,76.000,0,100mm,0.000,,0.000,,173334.590mm,157458.200mm,101219.700mm,Unset,,,0,,0,,,,,,
786,2830,,unset,FLAN,=67132086/484,1,2,50mm,60.3,0.000,0,0.000,0,0mm,0.000,,0.000,START,173434.590mm,157458.200mm,101219.700mm,Unset,,,0,,0,,,,,,
787,,,unset,FLAN,=67132086/484,2,1,50mm,60.3,0.000,0,0.000,0,0mm,0.000,,0.000,,173514.590mm,157458.200mm,101219.700mm,Unset,,,0,,0,,,,,,
788,,,unset,GASK,=67132086/485,1,1,50mm,60.3,0.000,0,0.000,0,0mm,0.000,,0.000,,173514.590mm,157458.200mm,101219.700mm,Unset,,,0,,0,,,,,,
789,,,unset,GASK,=67132086/485,2,2,50mm,60.3,0.000,0,0.000,0,0mm,0.000,,0.000,,173517.790mm,157458.200mm,101219.700mm,Unset,,,0,,0,,,,,,
790,,,unset,VALV,=67132086/486,1,1,50mm,60.3,0.000,0,0.000,0,0mm,0.000,,0.000,,173517.790mm,157458.200mm,101219.700mm,Unset,,,0,,0,,,,,,
791,,,=67132086/486,VALV,=67132086/486,2,2,50mm,60.3,0.000,0,0.000,0,0mm,0.000,,0.000,,173809.790mm,157458.200mm,101219.700mm,Unset,,,0,,0,,,,,,
792,,,unset,GASK,=67132086/487,1,1,50mm,60.3,0.000,0,0.000,0,0mm,0.000,,0.000,,173809.790mm,157458.200mm,101219.700mm,Unset,,,0,,0,,,,,,
793,,,unset,GASK,=67132086/487,2,2,50mm,60.3,0.000,0,0.000,0,0mm,0.000,,0.000,,173812.990mm,157458.200mm,101219.700mm,Unset,,,0,,0,,,,,,
794,,,unset,FLAN,=67132086/488,1,1,50mm,60.3,0.000,0,0.000,0,182mm,0.000,,0.000,,173812.990mm,157458.200mm,101219.700mm,Unset,,,0,,0,,,,,,
795,2840,=67132086/486,unset,FLAN,=67132086/488,2,2,50mm,60.3,0.000,0,0.000,0,182mm,0.000,,0.000,END,173892.990mm,157458.200mm,101219.700mm,Unset,,,0,,0,,,,,,
796,2850,PS-171042.1,PS-171042.1,ATTA,=67132086/489,0,0,50mm,60.3,0.000,0,0.000,0,0mm,0.000,,0.000,,174075.890mm,157458.200mm,101219.700mm,Unset,,,0,,0,,,,,,
797,2860,PS-171042.2,PS-171042.2,ATTA,=67132086/490,0,0,50mm,60.3,0.000,0,0.000,0,271mm,0.000,,0.000,,174075.890mm,157458.200mm,101219.700mm,Unset,,,0,,0,,,,,,
798,2870,,unset,REDU,=67132086/491,1,2,50mm,60.3,0.000,0,0.000,0,0mm,0.000,,0.000,,174243.990mm,157458.200mm,101219.700mm,Unset,,,0,,0,,,,,,
799,2880,,unset,REDU,=67132086/491,2,1,100mm,114.3,0.000,0,0.000,0,0mm,0.000,,0.000,START,174345.990mm,157458.200mm,101246.700mm,Unset,,,0,,0,,,,,,
800,,,unset,FLAN,=67132086/492,1,2,100mm,114.3,0.000,0,0.000,0,0mm,0.000,,0.000,,174345.990mm,157458.200mm,101246.700mm,Unset,,,0,,0,,,,,,
801,,,unset,FLAN,=67132086/492,2,1,100mm,114.3,0.000,0,0.000,0,0mm,0.000,,0.000,,174454.990mm,157458.200mm,101246.700mm,Unset,,,0,,0,,,,,,
802,2890,,unset,BRAN,=67132086/479,2,2,100mm,114.3,0.000,0,0.000,0,0mm,0.000,0,0.000,END,174454.990mm,157458.200mm,101246.700mm,=67132086/459,BRAN,0,0,,0,0,-100000,,,,
803,2890,,unset,BRAN,=67132086/459,1,1,100mm,114.3,0.000,0,0.000,0,0mm,0.000,0,0.000,END,174454.990mm,157458.200mm,101246.700mm,=67132086/479,BRAN,0,0,,0,0,-100000,,,,
804,,,unset,GASK,=67132086/460,1,1,100mm,114.3,0.000,0,0.000,0,0mm,0.000,,0.000,,174454.990mm,157458.200mm,101246.700mm,Unset,,,0,,0,,,,,,
805,,,unset,GASK,=67132086/460,2,2,100mm,114.3,0.000,0,0.000,0,0mm,0.000,,0.000,,174458.190mm,157458.200mm,101246.700mm,Unset,,,0,,0,,,,,,
806,,,unset,INST,=67132086/461,1,1,100mm,114.3,0.000,0,0.000,0,0mm,0.000,,0.000,,174458.190mm,157458.200mm,101246.700mm,Unset,,,0,,0,,,,,,
807,,,unset,INST,=67132086/461,2,2,100mm,114.3,0.000,0,0.000,0,0mm,0.000,,0.000,,174464.190mm,157458.200mm,101246.700mm,Unset,,,0,,0,,,,,,
808,,,unset,GASK,=67132086/462,1,1,100mm,114.3,0.000,0,0.000,0,0mm,0.000,,0.000,,174464.190mm,157458.200mm,101246.700mm,Unset,,,0,,0,,,,,,
809,,,unset,GASK,=67132086/462,2,2,100mm,114.3,0.000,0,0.000,0,0mm,0.000,,0.000,,174467.390mm,157458.200mm,101246.700mm,Unset,,,0,,0,,,,,,
810,,,unset,FLAN,=67132086/463,1,1,100mm,114.3,0.000,0,0.000,0,0mm,0.000,,0.000,,174467.390mm,157458.200mm,101246.700mm,Unset,,,0,,0,,,,,,
811,,,unset,FLAN,=67132086/463,2,2,100mm,114.3,0.000,0,0.000,0,0mm,0.000,,0.000,,174576.390mm,157458.200mm,101246.700mm,Unset,,,0,,0,,,,,,
