Sequence,NodeNo,NodeName,componentName,Type,RefNo,Point,PPoint,Bore,O/D,Wall Thickness,Corrosion Allowance,Radius,SIF,Weight,Material,Rigid,East,North,Up,Status,Pressure,Restraint Type,Restraint Stiffness,Restraint Friction,Restraint Gap
1,,,unset,BRAN,40342.83774,1,1,400mm,406.4,0,0,0,0,0,0,START,96400.000mm,17989.400mm,101968.000mm,,0,,,,
2,10,,unset,GASK,40318.60781,1,1,400mm,406.4,0,0,0,0,0,,,96400.000mm,17989.400mm,101968.000mm,,,,,,
3,,,unset,GASK,40318.60781,2,2,400mm,406.4,0,0,0,0,0,,,96400.000mm,17986.400mm,101968.000mm,,,,,,
4,,,unset,FLAN,40294.40696,1,1,400mm,406.4,0,0,0,0,0,,,96400.000mm,17986.400mm,101968.000mm,,,,,,
5,20,,unset,FLAN,40294.40696,2,2,400mm,406.4,0,0,0,0,0,,END,96400.000mm,17840.400mm,101968.000mm,,,,,,
6,30,PS00178.1,PS00178.1,ANCI,23915.38368,0,0,400mm,406.4,0,0,0,0,0,,,96400.000mm,17186.400mm,101968.000mm,,,,,,
7,,,unset,TEE,40270.23515,1,1,400mm,406.4,0,0,0,0,0,,,96400.000mm,16891.400mm,101968.000mm,,,,,,
8,,,unset,TEE,40270.23515,3,3,350mm,406.4,0,0,0,0,0,,,96400.000mm,16586.400mm,102273.000mm,,,,,,
9,40,,unset,TEE,40270.23515,0,0,400mm,406.4,0,0,0,0,0,,,96400.000mm,16586.400mm,101968.000mm,,,,,,
10,,,unset,TEE,40270.23515,2,2,400mm,406.4,0,0,0,0,0,,,96400.000mm,16281.400mm,101968.000mm,,,,,,
11,50,,unset,FLAN,40246.09233,1,2,400mm,406.4,0,0,0,0,0,,START,96400.000mm,15781.400mm,101968.000mm,,,,,,
12,,,unset,FLAN,40246.09233,2,1,400mm,406.4,0,0,0,0,0,,,96400.000mm,15635.400mm,101968.000mm,,,,,,
13,,,unset,GASK,40221.97843,1,1,400mm,406.4,0,0,0,0,0,,,96400.000mm,15635.400mm,101968.000mm,,,,,,
14,,,unset,GASK,40221.97843,2,2,400mm,406.4,0,0,0,0,0,,,96400.000mm,15632.400mm,101968.000mm,,,,,,
15,,,unset,FLAN,40197.89341,1,1,400mm,406.4,0,0,0,0,0,,,96400.000mm,15632.400mm,101968.000mm,,,,,,
16,,,unset,FLAN,40197.89341,2,2,400mm,406.4,0,0,0,0,0,,,96400.000mm,15486.400mm,101968.000mm,,,,,,
