Sequence,NodeNo,NodeName,componentName,Type,RefNo,Point,PPoint,Bore,O/D,Wall Thickness,Corrosion Allowance,Radius,SIF,Weight,Material,Rigid,East,North,Up,Status,Pressure,Restraint Type,Restraint Stiffness,Restraint Friction,Restraint Gap
40,,,unset,PCOM,=67130482/1538,1,1,350mm,355.6,0.000,0,0.000,0,0.000,,,95721.000mm,16586.400mm,104360.000mm,,,,,,
41,,,unset,PCOM,=67130482/1538,2,2,350mm,355.6,0.000,0,0.000,0,0.000,,,95686.000mm,16586.400mm,104360.000mm,,,,,,
42,,,unset,GASK,=67130482/1541,1,1,350mm,355.6,0.000,0,0.000,0,0.000,,,95686.000mm,16586.400mm,104360.000mm,,,,,,
43,,,unset,GASK,=67130482/1541,2,2,350mm,355.6,0.000,0,0.000,0,0.000,,,95683.000mm,16586.400mm,104360.000mm,,,,,,
44,120,,unset,BRAN,=67130482/1151,2,2,350mm,355.6,0.000,0,0.000,0,0.000,0,END,95683.000mm,16586.400mm,104360.000mm,,0,,,,
45,120,,unset,BRAN,=67130482/1662,1,1,350mm,355.6,0.000,0,0.000,0,0.000,0,END,95683.000mm,16586.400mm,104360.000mm,,0,,,,
46,,,unset,FLAN,=67130482/1673,1,1,350mm,355.6,0.000,0,0.000,0,0.000,,,95683.000mm,16586.400mm,104360.000mm,,,,,,
47,130,,unset,FLAN,=67130482/1673,2,2,350mm,355.6,0.000,0,0.000,0,0.000,,,95540.000mm,16586.400mm,104360.000mm,,,,,,
48,,,unset,ELBO,=67130482/1165,1,1,350mm,355.6,0.000,0,533.000,0,0.000,,,95243.200mm,16586.400mm,104360.000mm,,,,,,
49,140,,unset,ELBO,=67130482/1165,0,0,350mm,355.6,0.000,0,533.000,0,0.000,,,94710.200mm,16586.400mm,104360.000mm,,,,,,
50,,,unset,ELBO,=67130482/1165,2,2,350mm,355.6,0.000,0,533.000,0,0.000,,,94710.200mm,16053.400mm,104360.000mm,,,,,,
51,150,PS00160.1,PS00160.1,ANCI,=67130482/2728,0,0,350mm,355.6,0.000,0,0.000,0,0.000,,,94710.200mm,14986.400mm,104360.000mm,,,,,,
52,160,PS00161.1,PS00161.1,ANCI,=67130482/2731,0,0,350mm,355.6,0.000,0,0.000,0,0.000,,,94710.200mm,4186.400mm,104360.000mm,,,,,,
53,170,PS00172.1,PS00172.1,ANCI,=67130482/2764,0,0,350mm,355.6,0.000,0,0.000,0,0.000,,,94710.200mm,-1513.600mm,104360.000mm,,,,,,
54,,,unset,ELBO,=67130482/1534,1,1,350mm,355.6,0.000,0,533.000,0,0.000,,,94710.200mm,-2117.000mm,104360.000mm,,,,,,
55,180,,unset,ELBO,=67130482/1534,0,0,350mm,355.6,0.000,0,533.000,0,0.000,,,94710.200mm,-2650.000mm,104360.000mm,,,,,,
56,,,unset,ELBO,=67130482/1534,2,2,350mm,355.6,0.000,0,533.000,0,0.000,,,95243.200mm,-2650.000mm,104360.000mm,,,,,,
57,190,PS00163.1,PS00163.1,ANCI,=67130482/2737,0,0,350mm,355.6,0.000,0,0.000,0,0.000,,,97510.200mm,-2650.000mm,104360.000mm,,,,,,
58,200,PS00164.1,PS00164.1,ANCI,=67130482/2740,0,0,350mm,355.6,0.000,0,0.000,0,0.000,,,101510.200mm,-2650.000mm,104360.000mm,,,,,,
59,,,unset,ELBO,=67130482/1559,1,1,350mm,355.6,0.000,0,533.000,0,0.000,,,101781.030mm,-2650.000mm,104360.000mm,,,,,,
60,210,,unset,ELBO,=67130482/1559,0,0,350mm,355.6,0.000,0,533.000,0,0.000,,,102314.030mm,-2650.000mm,104360.000mm,,,,,,
61,,,unset,ELBO,=67130482/1559,2,2,350mm,355.6,0.000,0,533.000,0,0.000,,,102314.030mm,-2650.000mm,104893.000mm,,,,,,
62,,,unset,ELBO,=67130482/1560,1,1,350mm,355.6,0.000,0,533.000,0,0.000,,,102314.030mm,-2650.000mm,106794.800mm,,,,,,
63,220,,unset,ELBO,=67130482/1560,0,0,350mm,355.6,0.000,0,533.000,0,0.000,,,102314.030mm,-2650.000mm,107327.800mm,,,,,,
64,,,unset,ELBO,=67130482/1560,2,2,350mm,355.6,0.000,0,533.000,0,0.000,,,102847.030mm,-2650.000mm,107327.800mm,,,,,,
65,230,PS00165.1,PS00165.1,ANCI,=67130482/2743,0,0,350mm,355.6,0.000,0,0.000,0,0.000,,,103034.000mm,-2650.000mm,107327.800mm,,,,,,
66,,,unset,OLET,=67130482/1576,1,1,350mm,355.6,0.000,0,0.000,0,0.000,,,105267.430mm,-2650.000mm,107327.800mm,,,,,,
67,,,unset,OLET,=67130482/1576,3,3,50mm,355.6,0.000,0,0.000,0,0.000,,,105267.430mm,-2650.000mm,107543.700mm,,,,,,
68,240,,unset,OLET,=67130482/1576,0,0,350mm,355.6,0.000,0,0.000,0,0.000,,,105267.430mm,-2650.000mm,107327.800mm,,,,,,
69,,,unset,OLET,=67130482/1576,2,2,350mm,355.6,0.000,0,0.000,0,0.000,,,105267.430mm,-2650.000mm,107327.800mm,,,,,,
70,250,,unset,FLAN,=67130482/1570,1,2,350mm,355.6,0.000,0,0.000,0,0.000,,START,105567.429mm,-2650.000mm,107327.800mm,,,,,,
71,,,unset,FLAN,=67130482/1570,2,1,350mm,355.6,0.000,0,0.000,0,0.000,,,105694.429mm,-2650.000mm,107327.800mm,,,,,,
72,,,unset,GASK,=67130482/1571,1,1,350mm,355.6,0.000,0,0.000,0,0.000,,,105694.429mm,-2650.000mm,107327.800mm,,,,,,
73,,,unset,GASK,=67130482/1571,2,2,350mm,355.6,0.000,0,0.000,0,0.000,,,105697.429mm,-2650.000mm,107327.800mm,,,,,,
74,,,unset,FLAN,=67130482/1572,1,1,350mm,355.6,0.000,0,0.000,0,0.000,,,105697.429mm,-2650.000mm,107327.800mm,,,,,,
75,260,,unset,FLAN,=67130482/1572,2,2,350mm,355.6,0.000,0,0.000,0,0.000,,END,105824.429mm,-2650.000mm,107327.800mm,,,,,,
