Sequence,NodeNo,NodeName,componentName,Type,RefNo,Point,PPoint,Bore,O/D,Wall Thickness,Corrosion Allowance,Radius,SIF,Weight,Material,Rigid,East,North,Up,Status,Pressure,Restraint Type,Restraint Stiffness,Restraint Friction,Restraint Gap
81,,,unset,FLAN,42433.933,1,1,350mm,355.6,0,0,0,0,0,,,116705.229mm,-2650.000mm,107327.800mm,,,,,,
82,290,,unset,FLAN,42433.933,2,2,350mm,355.6,0,0,0,0,0,,END,116832.229mm,-2650.000mm,107327.800mm,,,,,,
83,300,PS00167.1,PS00167.1,ANCI,24419.96435,0,0,350mm,355.6,0,0,0,0,0,,,117184.000mm,-2650.000mm,107327.800mm,,,,,,
84,310,,unset,FLAN,42840.12891,1,2,350mm,355.6,0,0,0,0,0,,START,117594.229mm,-2650.000mm,107327.800mm,,,,,,
85,,,unset,FLAN,42840.12891,2,1,350mm,355.6,0,0,0,0,0,,,117721.229mm,-2650.000mm,107327.800mm,,,,,,
86,,,unset,GASK,42812.8074,1,1,350mm,355.6,0,0,0,0,0,,,117721.229mm,-2650.000mm,107327.800mm,,,,,,
87,,,unset,GASK,42812.8074,2,2,350mm,355.6,0,0,0,0,0,,,117724.229mm,-2650.000mm,107327.800mm,,,,,,
88,,,unset,FLAN,42785.52071,1,1,350mm,355.6,0,0,0,0,0,,,117724.229mm,-2650.000mm,107327.800mm,,,,,,
89,320,,unset,FLAN,42785.52071,2,2,350mm,355.6,0,0,0,0,0,,END,117851.229mm,-2650.000mm,107327.800mm,,,,,,
90,,,unset,ELBO,3035.476716,1,1,350mm,355.6,0,0,533,0,0,,,117851.229mm,-2650.000mm,107327.800mm,,,,,,
91,330,,unset,ELBO,3035.476716,0,0,350mm,355.6,0,0,533,0,0,,,118384.229mm,-2650.000mm,107327.800mm,,,,,,
92,,,unset,ELBO,3035.476716,2,2,350mm,355.6,0,0,533,0,0,,,118384.229mm,-2650.000mm,106794.800mm,,,,,,
93,,,unset,ELBO,3037.124491,1,1,350mm,355.6,0,0,533,0,0,,,118384.229mm,-2650.000mm,102500.998mm,,,,,,
94,340,,unset,ELBO,3037.124491,0,0,350mm,355.6,0,0,533,0,0,,,118384.229mm,-2650.000mm,101967.998mm,,,,,,
95,,,unset,ELBO,3037.124491,2,2,350mm,355.6,0,0,533,0,0,,,118384.229mm,-3183.000mm,101967.998mm,,,,,,
96,350,PS00168.1,PS00168.1,ANCI,24393.34375,0,0,350mm,355.6,0,0,0,0,0,,,118384.229mm,-4150.000mm,101967.998mm,,,,,,
97,,,unset,TEE,3036.987108,1,1,350mm,355.6,0,0,0,0,0,,,118384.229mm,-5880.200mm,101967.998mm,,,,,,
98,,,unset,TEE,3036.987108,3,3,300mm,355.6,0,0,0,0,0,,,118114.229mm,-6159.200mm,101967.998mm,,,,,,
99,360,,unset,TEE,3036.987108,0,0,350mm,355.6,0,0,0,0,0,,,118384.229mm,-6159.200mm,101967.998mm,,,,,,
100,,,unset,TEE,3036.987108,2,2,350mm,355.6,0,0,0,0,0,,,118384.229mm,-6438.200mm,101967.998mm,,,,,,
101,370,PS00169.1,PS00169.1,ANCI,24366.78113,0,0,350mm,355.6,0,0,0,0,0,,,118384.229mm,-9150.000mm,101967.998mm,,,,,,
102,,,unset,ELBO,56317.51846,1,1,350mm,355.6,0,0,533,0,0,,,118384.229mm,-12467.000mm,101967.998mm,,,,,,
103,380,,unset,ELBO,56317.51846,0,0,350mm,355.6,0,0,533,0,0,,,118384.229mm,-13000.000mm,101967.998mm,,,,,,
104,,,unset,ELBO,56317.51846,2,2,350mm,355.6,0,0,533,0,0,,,117851.229mm,-13000.000mm,101967.998mm,,,,,,
105,,,unset,OLET,42114.48055,1,1,350mm,355.6,0,0,0,0,0,,,117551.229mm,-13000.000mm,101967.998mm,,,,,,
106,,,unset,OLET,42114.48055,3,3,50mm,355.6,0,0,0,0,0,,,117551.229mm,-13000.000mm,101752.098mm,,,,,,
107,390,,unset,OLET,42114.48055,0,0,350mm,355.6,0,0,0,0,0,,,117551.229mm,-13000.000mm,101967.998mm,,,,,,
108,,,unset,OLET,42114.48055,2,2,350mm,355.6,0,0,0,0,0,,,117551.229mm,-13000.000mm,101967.998mm,,,,,,
109,400,PS00170.1,PS00170.1,ANCI,24340.27629,0,0,350mm,355.6,0,0,0,0,0,,,116951.230mm,-13000.000mm,101967.998mm,,,,,,
110,410,,unset,FLAN,16542.71151,1,2,350mm,355.6,0,0,0,0,0,,START,116075.000mm,-13000.000mm,101968.000mm,,,,,,
111,,,unset,FLAN,16542.71151,2,1,350mm,355.6,0,0,0,0,0,,,115948.000mm,-13000.000mm,101968.000mm,,,,,,
112,,,unset,GASK,16546.78807,1,1,350mm,355.6,0,0,0,0,0,,,115948.000mm,-13000.000mm,101968.000mm,,,,,,
113,,,unset,GASK,16546.78807,2,2,350mm,355.6,0,0,0,0,0,,,115945.000mm,-13000.000mm,101968.000mm,,,,,,
114,420,,unset,BRAN,40391.38508,2,2,350mm,355.6,0,0,0,0,0,0,END,115945.000mm,-13000.000mm,101968.000mm,,0,,,,
